Comment,Compound,Positive,Negative,Neutral
Go MATT!!! ✌️✌️,0.0,0.0,0.0,1.0
ABC your fake news political hacks your control by the Democrat party in the Democratic corporate elite American people have spoken,-0.1027,0.109,0.125,0.766
"Democrats; You lost, get a grip. Have some self respect. Try to keep your dignity!",0.5848,0.314,0.119,0.567
If you believe anything ABC is reporting on what Republican insiders are saying about Trump's decisions... then you are a fool,-0.4404,0.0,0.132,0.868
Hillary was absolutely 100% right! Deplorable!,0.0,0.0,0.0,1.0
Let’s gooo🎉🎉🎉🎉🎉,0.0,0.0,0.0,1.0
Democrats are terrified of Matt,-0.6124,0.0,0.5,0.5
Just ABC propaganda,-0.25,0.0,0.5,0.5
leave Gaetz alone he will get the corrupt people in the D O J .,-0.296,0.0,0.262,0.738
Why would you drain a swamp?,0.0,0.0,0.0,1.0
"Quid pro quo: ""Bury my DOJ investigations and you can bury yours""",0.0,0.0,0.0,1.0
Rats scurrying about 😂😂😂 i love it,0.6369,0.457,0.0,0.543
"Because he will exspose all you corrupt, lying evil doers. God bless Matt, Trump and all the Trump party. They weaponized the judicial system is the only reason they had problems.",-0.5994,0.176,0.244,0.58
"ABC definitely doesn't have any ""inside"" info. All they have is their own corporate shill, bought and paid for opinions. You and your fart sniffing ilk have done more damage to the country than 45-47 could ever do. Even if he was what you and your shill colleagues claim he is. Congratulations! Youre irrelevant",0.5266,0.112,0.057,0.831
"MSM- Remember everyone… a trump decision = bad, no matter what.",-0.6808,0.086,0.445,0.469
Gaetz Resigns 2 Days before the Release off his Child Sex Trafficking Ethics Report. Unfit for Congress but OK for Trump's Attorney General,0.5022,0.153,0.065,0.783
Matt is just proof the FBI doesn't do anything about a certain group of people.,0.2732,0.139,0.0,0.861
Ok that does it for me ! ABC newa thinks Matt Gaetz is not qualified to be A.G. Now I know Trump made the right choice !,0.4184,0.108,0.0,0.892
Not voting for Matt will be a political death sentence for them.,-0.5574,0.092,0.275,0.634
"Why mess around until after the election to report their findings on Gaetz?

Same as the border wall.  Why didn’t it get the priority to complete it before Trump finished his first term",-0.3612,0.0,0.072,0.928
Who gives a rats😮,0.0,0.0,0.0,1.0
"RIP Legacy Media 
And good riddance.",0.4404,0.367,0.0,0.633
Is he Bevis or Butthead?,0.0,0.0,0.0,1.0
It's coming,0.0,0.0,0.0,1.0
So where’s the inside part of this vid?,0.0,0.0,0.0,1.0
It is completely about LOYALTY!,0.7007,0.546,0.0,0.454
"...and the media begins the narrative to drag him through the mud. WE DO NOT BELIEVE YOU, WE DON'T LIKE YOU, WE WANT GEATZ TO EXPOSE YOU ALL.",-0.593,0.062,0.209,0.729
Ha Ha Ha! Thease producers should read comments.  Mabey they will realize that they Have ZERO CREDIBILITY!!!,0.811,0.374,0.0,0.626
"We don't care what you think.  MSM IS #FakeNews
You're immoral, dishonorable liars.",-0.8413,0.0,0.474,0.526
Maybe his next pick will M. Taylor for education secretary,0.0,0.0,0.0,1.0
"Hey guys...I know Trump is a convicted felon and he made president but...I thought we all had an unspoken agreement that if you were caught anywhere near the kiddie pool (like Gaetz was), you're done. Did...we just forget that?",0.3182,0.078,0.046,0.876
You fools think you know what Trump is thinking😂😂😂 too funny!,-0.1511,0.188,0.227,0.585
"Everything is a fkn op-ed now. Just give the ""NEWS"" not your convoluted opinion",0.0,0.0,0.0,1.0
Wow it was a last minute decision and no one knew anything about it but trump told abc news all the details.....total bs.,0.2023,0.1,0.067,0.833
Ll probably give diddy a pardon and bring there freak show to the White House it’s already been disgraced once by the pig 🐷,-0.5574,0.085,0.217,0.699
How about Trump appoint his son to be the Vice President too,0.0,0.0,0.0,1.0
"Gaetz is a joke, but so is the media.",0.1531,0.186,0.0,0.814
AND??? Ya'll are going to a problem with EVERYONE HE CHOOSES.,-0.5007,0.0,0.265,0.735
"Current events. These powerful people, smart people, informed people just talk and talk and talk and talk and talk and nothing else. Ugh.",0.7803,0.281,0.0,0.719
Gaetz needs to expose the DOJ!,-0.2244,0.0,0.275,0.725
Wow what is stretch you guys are just mudslinging all the time no facts and you're just propagating lies there should be laws enacted that Talking Heads such as yourself should be under oath when this broadcasting the news and be held liable for perjury just like if you were a witness giving testimony  to Congress or in court,0.2023,0.127,0.115,0.758
Let the butthurt commence,0.0,0.0,0.0,1.0
Trump is the criminal Matt Gates is a criminal so it seems obvious why he made the choice doesn’t it and they’re both rapists so that would work wouldn’t it? why do people like this get away with everything? Why are we not prosecuting Trump and Matt Gates? Why are they not in jail? Why did they get special treatment? Why are we handling these rapists and serial criminals with kid gloves? Why are we doing this? We have people in this country that have smoked pot in or in jail. Why are they not in jail for trying to subvert 2020 election I don’t understand this country right now,-0.9506,0.041,0.159,0.8
Matt Gaetz can handle his words. He is opposite of the blibbering idiot that is currently in that position .,-0.5106,0.0,0.155,0.845
"Trumpet the felon, Gaetz the ChIld molester, and the list of.picks goes own. 😮amazing. a circus of doctored  experiences.  Follow the leader bankruptcy and corruption.",-0.5106,0.0,0.125,0.875
fake news,-0.4767,0.0,0.756,0.244
"Sick and tired of the sex scandals . So what if Gates was traveling on the same jet with a 17 year old girl. That doesn't mean he had sex with her !!. We can't allow these attacks to interrupt business in Washington DC. Nobody made a complaint,the Swamp decided to look for dirt on Gates. Stop this nonsense !!!.",-0.9581,0.033,0.307,0.66
China cuts off 34 billions U.S. Farming Industry.,-0.296,0.0,0.239,0.761
"What's ""inside"" Trump's choice for Gaetz? 
Lol the Democrats weaponized the DOJ against him with BS investigations like they did Trump, Patel, Mike Flynn etc. That's what's behind it and that's going to end!",0.68,0.149,0.0,0.851
I agreed with almost evey pick by Trump. But this guy?????? HELL TO THE NAW...He's bad business. GAETZ will cause nothing but strife and trouble. You better hide the younger woman. 😂,-0.9469,0.112,0.39,0.498
"My question is if confirmed, 
will Matt Gaetz's official Attorney General photo be used for National Sex Offender website? 🤔",-0.3612,0.0,0.122,0.878
Gaetz even looks evil!!,-0.717,0.0,0.624,0.376
"I don't like him, but the investigation against him WAS dismissed under a Biden DOJ and some of his acussors have subsequently been convicted of extortion. That tells me quite a lot!",-0.2136,0.0,0.062,0.938
Everybody’s got their own idea on who’s best for Attorney General. There’s nobody Trump could pick that everybody would like that’s why we have elections.,0.7717,0.226,0.0,0.774
"Legalize prostitution and meth 🎉🎉🎉
Hell yeah",-0.5267,0.186,0.39,0.424
Dumbbell..bunch evolving...Trump has no common sense for betterment  of our American Constitutional Democracy..& he wants an authoritarian dictatorship.  Very stupid.,-0.7089,0.0,0.247,0.753
Okay all this b******* about Matt gaetz is the same s*** using Law Firm against because they are he's like so oppositional to the Democrats that he's just like a trump so they had to use the law firm against them so all this b******* this dude saying at the end of this video is all lies all lies you know all these girlfriends and blah blah blah blah all lies to use the law weaponize the law against your political opponent there's no validity to any of it just the same s*** that there was no validity came with the and he was and he was president and he has the right to have that stuff at some level because he's president and he's you know he's going to have a library someday,-0.8176,0.047,0.127,0.826
"If you believe that the current administration Wouldn't put a Republican politician in jail I have free air to sell you.

There was no evidence or he would be in jail.",0.2732,0.102,0.068,0.831
They are all disgusting,-0.5267,0.0,0.531,0.469
He should lock himself up😂😂😂😂,0.0,0.0,0.0,1.0
Fantastic pick!!!🎉,0.6679,0.817,0.0,0.183
It just shows you who the rhinos are. They are all afraid of change. Never underestimate the least likely,0.2235,0.095,0.0,0.905
So the pedo is going to be the leader of the group that could send him to jail.,0.0,0.0,0.0,1.0
Amen,0.0,0.0,0.0,1.0
"Trump doesn’t think about anything he does. I don’t think there’s anything going on in there. It’s rash decisions all the way up and down as we’ve seen over his entire life. This will be great. It’ll just be great. Can’t you just tell what the space people are thinking, can’t you see whythey haven’t come down here to see where we’re up to",0.7579,0.116,0.038,0.846
We are headed for hell in America.,-0.6808,0.0,0.434,0.566
Matt Gaetz is a sociopath.,0.0,0.0,0.0,1.0
Maga will probably start giving pardons to fellow pedophiles now.,0.5574,0.365,0.0,0.635
😂😂😂 what information?? You dont know anything about who trump's going to pick for nothing going fowad 😂😂😂😂..,0.0,0.0,0.0,1.0
I just can't stomach Trump and all the sh..t he gets away with!!!,0.0,0.0,0.0,1.0
"You don’t have to get too far inside to see Trump’s middle finger to America. Gaetz is a toady, an A kisser of the highest order who will do Trump’s bidding at DOJ, if it gets that far. He’s no one’s favorite in either party.  No wonder Trump wanted his picks to have a go around with congressional approval.",0.7964,0.175,0.067,0.759
Love all these comments on an ABC news clip. Majority of people have woken up,0.6369,0.231,0.0,0.769
Child predator tries to save a child predator by appointing him to a position for which he is not qualified.,0.4939,0.158,0.0,0.842
"The more the system pushes back, the more I love the pick.",0.6697,0.31,0.0,0.69
Add Ted Cruz too. 🤦‍♂️🤦‍♂️,0.0,0.0,0.0,1.0
Like ABC knows.,0.3612,0.556,0.0,0.444
"Always Broadcasting Crap's (ABC) rebuttal to Gaetz: 

1. Women said things with no substantive evidence, hence no criminal prosecution. #believeallwomen
2. Alaskan Republican representative says he's not serious and this position is serious and they want somebody serious.......... yep... she said that. 

Mighty fine journalism there. I'm not saying he's perfect or I even like him, but oh my goodness, you have to at least try to put some effort into your so-called journalism.",0.0059,0.128,0.116,0.756
Trump's motives in picking Gaetz are simple: dissolve the weaponized agencies in the US government and prosecute the partisan criminals,-0.7506,0.0,0.262,0.738
"lol…how does it feel to be such a useless company, ABC?",-0.4215,0.0,0.237,0.763
"The dems have ruthlessly gone after Trump supporters, trying to ruin them, jail them and bankrupt them with an activist DOJ,  dem prosecutors and judges. Time for a whole bunch of lawyers to lose their priviledge of practicing law.",-0.802,0.062,0.215,0.723
Syndrome don't need to be nowhere near the AG's office,0.0,0.0,0.0,1.0
Corruption.,0.0,0.0,0.0,1.0
"His expertise,  17 year olds.",0.0,0.0,0.0,1.0
Matt gates  seems  sus,0.0,0.0,0.0,1.0
Feckin clown show.,0.0,0.0,0.0,1.0
"MATT CASE WAS DROPPED 

If a case is dropped its not a case.

Lisa should STFU.

She has not had an opinion in 6year",0.0,0.0,0.0,1.0
Waiting for Alex Jones to be the Press Secretary pick 😂,0.0,0.0,0.0,1.0
"Garland, you're fired!",-0.5983,0.0,0.661,0.339
"DON'T trust Matt Gaetz,,,",-0.4023,0.0,0.474,0.526
The confirmation process will be brutal. I doubt he will ever be approved.,-0.5859,0.152,0.359,0.489
Quagmire Matt gaetz giggity giggity👕,0.0,0.0,0.0,1.0
Turn on the lights watch the cockroaches scatter!!!! 😂😂😂😂😂😂😂😂😂😂😂😂,0.0,0.0,0.0,1.0
ABC are such liars and they will do anything to spread lies! Shut down your network!,-0.7772,0.0,0.326,0.674
I voted for President Trump (both times) and completely support him but I question this appointment and know there were much better candidates. I do question if it had to do with his investigation,0.7047,0.168,0.0,0.832
The rats are scurrying!!  MAGA!!!,0.0,0.0,0.0,1.0
"Lawfar is a weapon the Swamp monsters will use to go after Trump and his administration. Trump said he was going to drain the swamp, and he's keeping his word !!!",-0.4724,0.0,0.096,0.904
How many recorded DUIs does he have?    Would not qualify for any high clearance government job if not appointed by Trump.,0.0,0.0,0.0,1.0
A literal S.O. who stepped down to avoid investigation,-0.296,0.0,0.239,0.761
America sees through your lies media. That's why you lost and your ratings are plummeting.,-0.6249,0.0,0.282,0.718
"Without trump, this country wouldn’t be worrying about the future. No trump, No problems. Do the math.",-0.8176,0.0,0.422,0.578
"Someone on that committee will get hacked, then the leak will inform us",-0.6249,0.0,0.317,0.683
Is this a news channel or an opinionated talk show?,0.0,0.0,0.0,1.0
"‘Ah, you loved me as a loser, but now you're worried that I just might win
You know the way to stop me, but you don't have the discipline’

Thanks corporate media 💔",0.6908,0.266,0.18,0.554
"I do find it funny that they have a problem with Matt Gaetz,but not a problem with John Fetterman!! 🤔",-0.4738,0.133,0.273,0.594
"Trump is a criminal and he is surrounding himself with criminals like him. I think Trump's choices aren't good for all Americans. I hope someone stops Trump he is a criminal and an idiot and should not be president. God help us if he is sworn in. For those latinos that voted for Trump, he is coming for you to harm you as much as he can.",-0.9327,0.097,0.278,0.625
It would be wonderful to see the new president elect put the country first instead of himself. Matt Gaetz is loyal to trump. What ever happened to that thing called loyalty to the constitution?,0.8834,0.249,0.0,0.751
"Trump needs to get people that aren't there just to ""Get"" Him. Democrats that just don't like Trump and are there to put him in jail has got to stop. We want Trump to Save the country, not fight fake lawsuits.",0.6566,0.218,0.088,0.694
"Hello.
So. Yeah.
A P doe as attorney general...
Makes sense. Trump's one top.
That's why his bestie was ol Jeff E.
And your reporting it like it's totally normal.?
Who are you?

Good luck.",0.9012,0.318,0.0,0.682
best pick ever for ag. the evil folks hate him. lmao! this guy just said it himself. it's abc. ha ha,0.6239,0.363,0.223,0.413
Seething democrats are so hot right now.,0.0,0.0,0.0,1.0
"If I was Trump I would use the mainstream corrupt media to help me make my choices. Leak a name and measure how much they freak out and how much negative stuff comes out about the candidate, then add 10 points if the media hates on them. Subtract 10 points if the media is silent or likes them.",-0.7506,0.083,0.179,0.738
‼️AIPAC 👈🤡,0.0,0.0,0.0,1.0
Who thinks ABC News is a joke?,0.296,0.306,0.0,0.694
"And fake news abc knows the seating arrangements aboard Trump 1 exactly how? How do they know where President Donald J Trump, Matt, and his COS were seated? Can they please explain THAT?",-0.3049,0.112,0.088,0.799
I really like Matt Gaetz.  Watching Congressional hearings he’s a bulldog interrogating people.  He’s a great speaker.  I love all his selections so far.,0.902,0.395,0.0,0.605
This guy will NEVER Get confirmed.,0.0,0.0,0.0,1.0
This SOB needs to be in prison. Sexual assault on minor girls. Lord help our country.,-0.7983,0.11,0.401,0.489
Great pick Mr. President!,0.6588,0.594,0.0,0.406
"Josh Hawley, lawyer... would have been great...already served as the 42nd attorney general of Missouri from 2017 to 2019! Highly intelligent, very vocal in congress, takes no non sense, fearless, logical, rational, pro justice! No skeletons...Great pick if Gaetz is not confirmed!",0.7946,0.202,0.085,0.713
"They don't want someone like Matt appointed bc he will actually prosecute crimes- many of those crimes those who disapprove are guilty of. 
We the Peoplecwant MATT!!! 
GET IT DONE!",-0.8402,0.0,0.278,0.722
"You have no idea why he picked him, I think I have a clue all the BS that was done from the justice department needs to be exposed",0.2263,0.118,0.121,0.761
It’s called “draining the swamp”. Love it!,0.6696,0.428,0.0,0.572
This is beyond the swamp. This is raw sewage back in the White House.,0.0,0.0,0.0,1.0
Legacy media is TRASH🤣,0.0,0.0,0.0,1.0
Love it the biggest bull mastiff king Corso you put on a Democrat party love it,0.9022,0.481,0.0,0.519
🤢🤮🤮🤮,0.0,0.0,0.0,1.0
A sex offender at the head of the country and he's going to Appoint another sex offender to head the department of Justice. Law and order my ass.,-0.6249,0.097,0.244,0.659
I bet it would kill these reporters to say something nice,-0.4404,0.181,0.303,0.516
Article 16 section 240-242 federal prison for everyone convicted for voter interference.,-0.5106,0.0,0.231,0.769
Abc is a joke,0.296,0.524,0.0,0.476
Trump is just sending PUTIN a little message….😂,0.0,0.0,0.0,1.0
"DON'T fall for DISTRACTIONS🤨Criminal Democrats SAY, POST & DO ANYTHING, ""try"" to prevent Trump🇺🇸 success ..continue prayers🙏 support Republicans across the board",0.7579,0.294,0.0,0.706
Pick judge judy,0.0,0.0,0.0,1.0
"When someone says, ""there's not a lot of opposition to him up there"" we should be scared",-0.4404,0.0,0.162,0.838
The same people who think Matt Gaetz isn't qualified to be Attorney General thought Kamala Harris was qualified to be President.,0.0,0.0,0.0,1.0
Department of homeland security employees are illegally stalking Americans and also spraying every American with chemicals via aerosol spraying. Please look into this.,0.5719,0.183,0.0,0.817
ANOTHER BULL DOG PROTECTOR ADDED TO TRUMPS TEAM,0.0,0.0,0.0,1.0
"CBS is not the mainstream media, nor the legacy media...it's the EXTINCT media.",0.0,0.0,0.0,1.0
"If I was Trump I would use the mainstream corrupt media to help me make my choices. Leak a name and measure how much they freak out and how much negative stuff comes out about the candidate, then add 10 points if the media hates on them. Subtract 10 points if the media is silent or likes them.",-0.7506,0.083,0.179,0.738
"We must keep in mind, ""It is not by chance that each event occurs. "" RAMDASS 🙏. ❤  🙏 Karen Murao",-0.1877,0.0,0.093,0.907
Just another criminal. Hope they’re happy,0.4939,0.508,0.262,0.231
"I don't remember the fake news abc having an issue with the selection of the left-wing liberal socialist communist garland to the position!
I don't remember the fake news abc and it's j bosses having an issue with the left-wing liberal socialist communist garland and the doj were politicized and weaponized to the point of suing the state of Virginia to keep 1,600 self-admitted illegal aliens and non-citizens on the voting roster! Only for the Supreme Court to strike their lawsuit down!
Does anyone remember Gabe news abc having an issue then? I don't!",0.4168,0.085,0.101,0.814
Department of homeland security employees are illegally stalking Americans and also spraying every American with chemicals via aerosol spraying. Please look into this.,0.5719,0.183,0.0,0.817
"Ms. Gaetz has legal problems with young girls? They've been working on it for sometime one guys in jail, they were party Bros!",0.2003,0.165,0.099,0.736
THE SCATTER BRAIN HAS NEVER TRIED A CASE. AMERICANS ARE IN BIG TROUBLE.   HOW DOES RESPONSIBLE  PEOPLE LET THIS HAPPEN????,-0.3313,0.1,0.159,0.74
Will Matt investigate his own sex crimes ? And post all of the tax money that was used to pay off all of the criminal activities that congress and senate have done ???   How about posting Epstein’s client list ???,-0.6966,0.0,0.135,0.865
MAGA 🇺🇸  ✨️  💯  💪,0.0,0.0,0.0,1.0
"I call it a bluff, Trump is surrounding himself again of the most corrupt zionist war mongers in congress. He picked this guy to watch his back, that's it. He won't go after the beast that feeds him.",-0.6326,0.0,0.106,0.894
Retribution. They thought they’d never lose.,0.3089,0.311,0.0,0.689
"So, trump ran to stay out of jail. Then Gaetz lobbies for himself to get the job - to stay out of jail - to run the department that puts people in jail.",0.0,0.0,0.0,1.0
I like how they pick the worst photo of him 😂 he looks like the grench in that first pic lol he might as well be to Dems lol,0.765,0.336,0.108,0.556
"Note that Trump appoints people who are completely far from the position they did in life! Just like Putin did! Shoigu, who was a forest hunter, suddenly became the Minister of Defense!

Surrounded himself in the Kremlin with thieves and criminals. What awaits America next? Nothing good...!",-0.7067,0.097,0.15,0.753
Complete Bull**** Spewed - CBS,0.0,0.0,0.0,1.0
"Government employees are taking advantage of the American public. Mainly government workers in law enforcement, department of homeland security, department of defense etc. Americans are being used to fund these people’s salaries and lifestyles.",0.5994,0.16,0.0,0.84
"Yeah ""they"" put a lot of bullsh!t charges on Trump also. Howd' that work out?
 Wait until you learn about ""the Council"", Then all your heads are going to explode. 
Go gettem' Matt, timing is everything.",0.1007,0.066,0.056,0.878
Detached from the USA..,-0.128,0.0,0.333,0.667
"Oh boy, more democrat propaganda anonymous democrat, 30 year old sexual assault allegations, right propaganda?",-0.8104,0.0,0.411,0.589
If trump could be president then I'm not surprised Matt Haetz would qualify as AG especially in the eyes of Donald Trump lol,0.281,0.11,0.065,0.825
ABC is garbage,0.0,0.0,0.0,1.0
"Government employees are taking advantage of the American public. Mainly government workers in law enforcement, department of homeland security, department of defense etc. Americans are being used to fund these people’s salaries and lifestyles.",0.5994,0.16,0.0,0.84
ABC 🔤 B's,0.0,0.0,0.0,1.0
Wonderful pick,0.5719,0.787,0.0,0.213
"This piece is a tap dance session in rain boots. I love the fact that nothing they say can make a difference. Given the fact they recognize they misjudged the voting public, they are now using cautionary language to not offend their viewers….but it ain’t working",0.7259,0.129,0.0,0.871
ABC fake news,-0.4767,0.0,0.608,0.392
Great news…❤,0.6249,0.804,0.0,0.196
"I would be delighted to learn why he selected such an unworthy nominee.

However, we are certainly not going to get anything resembling reasoned or sound analysis from the partisan hack network ABC.",0.4019,0.151,0.08,0.769
"He will be an awesome AG! The fact that the lefties are crying over it, is a good sign that he is the right person for the job!",0.6688,0.219,0.089,0.692
If beivis and butthead had a love child. It would look like matt gaetz,0.7717,0.379,0.0,0.621
"Ah yes!
The failed abc fake news is at it again!
As expected, the fake news media is having trouble with the President! 
Here's my advice to the fake news media and the j's who own and control abc and all fake news media:
Get over it!
Take your meds, talk to your therapist, and deal with it!",-0.9507,0.037,0.267,0.696
"Ah yes!
The failed abc fake news is at it again!
As expected, the fake news media is having trouble with the President! 
Here's my advice to the fake news media and the j's who own and control abc and all fake news media:
Get over it!
Take your meds, talk to your therapist, and deal with it!",-0.9507,0.037,0.267,0.696
"A sex trafficker at AG... just wow.

Lots of Russian bots on the comments today as well. Usually YouTube shadowbans me for saying this so we'll see if anyone sees this.",0.7096,0.174,0.0,0.826
He hasn’t dodged near the bullets that the Bidens have…. So way to go Trump,0.0,0.0,0.0,1.0
"Ummmm how could abc have any possible idea what's ""inside"" trumps decision on anything!!! They are obviously clueless on most things!!! Wake up people",-0.5673,0.0,0.138,0.862
"There’s not that much to dissect.  Kiss Trump’s butt enough, he’ll give you a job.  No qualifications necessary.",0.1531,0.14,0.11,0.75
"I thought i could not like matt more drugs, woman, rock n roll and da law",-0.2755,0.0,0.15,0.85
Outlandish?,0.0,0.0,0.0,1.0
Only in America.,0.0,0.0,0.0,1.0
"Nancy, shift, Schumer,  biden,  hunter, all calls blocked to gates. No begging now.",-0.5106,0.0,0.281,0.719
Matt all the way- 100% NEED HIM!!!!,0.0,0.0,0.0,1.0
Oh right. Zero integrity leftist trash abc going to give you the true story!!! Ok Jussie!!!,0.8302,0.403,0.0,0.597
Welcome to the circus.,0.4588,0.5,0.0,0.5
"""moral compass"" ?  the media shouldn't use big terms they know nothing about",0.0,0.0,0.0,1.0
I hope he has an entourage of 16 year olds for 4 years. How is this news?,0.4404,0.172,0.0,0.828
"This is a test for the Republicans, who’s MAGA and who’s not, who’s a “RINO” and who’s not. It’s meant to shake the cage and check loyalty of his party. Because frankly the MAGA base wants the craziness and they’ll vote accordingly.",0.4404,0.133,0.092,0.774
Gatez belongs in prison!,-0.5562,0.0,0.545,0.455
Yes that what it should be trump pick who he wants  trump is not popet,0.4019,0.162,0.0,0.838
Only the far left Republicans don't like Matt Gates aka the swamp!!!,-0.4563,0.0,0.213,0.787
It's impossible for me to take msm seriously.  Every story is blatantly bias! Sad.,-0.6696,0.0,0.371,0.629
"Matt is a fantastic choice for the position. I totally agree with the President on this. 
As usual, and as expected, his choices are spot on and right on the money. 
Great choice Mr. President. 
Good luck to the both of you.",0.9468,0.319,0.0,0.681
"Why does everybody he picks, looks like a con man crook ?",0.3612,0.217,0.0,0.783
I am very very happy with Gaetz. He is a str8 G.,0.6453,0.322,0.0,0.678
Christ is King. His Kingdom will soon be established and all fake governments will be abolished. His Kingdom will be glorious,0.2732,0.16,0.118,0.722
Its afraid,0.0,0.0,0.0,1.0
"Matt tried to get FBI to show the whereabouts of the hunter Biden laptop containing child porn ,but they don't know where it is 🤣",0.0,0.0,0.0,1.0
"Gates is a good man, but a hog out of the swAmp would be better by that alone",0.5106,0.272,0.117,0.61
They were going to do what trump wants. What does Trump wan? Justice maybe 😊,0.5267,0.207,0.0,0.793
Next all false propaganda network  had to be out of business for lying and propaganda vs mr Trump   abc cbs msnbc cnn pbs scripps network   piss of garbage,-0.8442,0.0,0.296,0.704
This was Matt Gaetz chance to resign before the ethics committee released the report on him with underage females.  Don't be duped.  Do the research.  Gaetz is a horrible human.  Keeps great company with disgusting traitor convict draft dodger trump.,-0.2187,0.166,0.183,0.65
"Sweeping victory?
Biden beat Trump by a much greater margin in 2020.
This was far from huge.
BTW, Gaetz? Birds of a feather...",0.6322,0.214,0.0,0.786
YUP pick a guy that the swamp tried to lynch......👍👍👍👍👍👍💯💯💯💯💯you can hear the rat's squealing so you know it's got em riled up.....,0.0,0.0,0.0,1.0
"I hope most of these comments are foreign actor propaganda, because the alternative is entirely too depressing.",-0.2449,0.14,0.235,0.626
Its bs. None of these people should be in charge of us. Who wants to bet we will het poorer and magically they will all be rich.,0.2732,0.116,0.08,0.804
The media 😂😂 you remember the laptop,0.0,0.0,0.0,1.0
Boy are they shaking in their boots😂😂😂😂😂😂😂😂😂😂😂😂. Get em!!!!,-0.4344,0.0,0.264,0.736
Genius pick,0.0,0.0,0.0,1.0
Gaetz is a great choice,0.6249,0.577,0.0,0.423
The only good thing about this is that he is pro legalization of weed.,0.4404,0.182,0.0,0.818
Crooks working with crooks to crook Americans'!,0.0,0.0,0.0,1.0
Matt looks like a joker indeed😂,0.4588,0.571,0.0,0.429
God help us all,0.5859,0.706,0.0,0.294
a sexual predator as AG? What has america come down to 😂,0.0,0.0,0.0,1.0
Trump must appoint Gaetz as special counsel,0.4019,0.31,0.0,0.69
"Gaetz looks demonic, but he is one very smart guy. Knowledgeable, quick and articulate
So he got some sweet ass. Yawn.",0.5006,0.26,0.155,0.586
"YEAH, keep acting like this is all normal ABC. You're part the reason he's back in office because you, as a network, decided to report him like a normal candidate.  

So except for this comment I do not watch ABC/NBC or CBS and FOX propaganda, they're all the same.  Stroking MAGA and trump to the win.",0.8668,0.19,0.032,0.778
I have some reservations. We rejected him as Speaker of the House for a good reason.,-0.1027,0.159,0.181,0.659
He just looks cartoonishly evil.,-0.6597,0.0,0.524,0.476
I like how Trump picks people that were targeted by these same institutions. Making them experts in what needs to change. And a media (to the extent they have any viewers) will need to get their audience up to speed on all these controversies they ignored or helped create.,0.3182,0.09,0.045,0.864
"Trump did what the f-ing senate swamp rinos feared with this pick,he chose someone they hate as much as they hate Trump now they either prove they’re on board with the Trump agenda or are they going to side with their democrat buddies 😂",-0.891,0.0,0.209,0.791
The other attorney generals under trump underminned him and got him into the Mueller probe so yes he is going to want someone loyal.eric holder and Merrick Garland were both partisan hacks,0.5847,0.138,0.0,0.862
And the Fake news continues 😆🇺🇸,-0.4767,0.0,0.383,0.617
This is a joke right 😢,0.296,0.423,0.0,0.577
"Lisa Murkowski is a democrat that ran as a republican so she'd get elected anyway, so her position is zero suprise",0.0,0.0,0.0,1.0
everyone here seems to be forgetting Gaetz had sex with a 17 year old girl as a near 40 year old. politics aside that is truly disgusting,-0.128,0.099,0.116,0.785
"Trump appeared focused on compiling a team with two main criteria: complete devotion to him, and Israel.",0.6808,0.286,0.0,0.714
Isn’t this the same dude who got caught Sex trafficking a minor just 2 years ago?,0.0,0.0,0.0,1.0
Matt is the right pick,0.0,0.0,0.0,1.0
Dems are on thin ice.,0.0,0.0,0.0,1.0
Merrick Garland corrupt and now a sexual abuse for attorney general what's going on in America 💩💩💩💩💩💩💩💩💩💩💩💩,-0.6369,0.0,0.219,0.781
"😂😂😂 Next on the Trump Clown Show, SpongeBob will be appointed Chairman of the Joint Chiefs. 😅😅😅",0.0,0.0,0.0,1.0
Trump is getting yes men fixers to amass power in the executive branch and the people that put the tism in patriotism will applaud him for it.,0.6908,0.186,0.0,0.814
"There's nothing to it.  
The whole application is ""will you anything And everything trump wants without question?"" 
That's it.",0.0,0.0,0.0,1.0
"Oh.. I see.. ABC liberal controlled news. You guys are same as CNN. I hope your rating tank as well. You are disrespectful toward the man we overwhelmingly voted for President…your opinions are far left. By the way, Murkowski cheated because if RCV  … as a life long Alaskan I know this. You all remind mevif the “view”.",0.0516,0.085,0.082,0.833
These are the same clowns that told you Biden was fit to be president and that Kamala qualified to be president,0.3612,0.111,0.0,0.889
"Sorry, the fact that people are acting like Susie Wiles is effective restraining Trump when he said “they’re eating the cats and dogs” is laughable. She’s not restraining anything",0.6705,0.205,0.039,0.755
If you don't like someone slander them ?,-0.2755,0.0,0.26,0.74
Thats one hell of a five head.,-0.6808,0.0,0.479,0.521
Abc has zero clue.,0.0,0.0,0.0,1.0
Trump picked a guy for AG thats accused of sex trafficking.....yup sounds right. He is picking yes men to surround himself with so he has no boundaries. Trump aint leaving after 4 years. This is just the start.,-0.2415,0.067,0.116,0.818
"Trump alone, was never the problem.  THIS was always the problem.",0.3645,0.311,0.138,0.551
Both sides are insane.  Shits getting worse.,-0.836,0.0,0.69,0.31
Somebody flew over the cuckoo's nest!!😂,0.0,0.0,0.0,1.0
Matt Gaetz will be a wonderful Attorney General. He's incredibly smart.  Hes gone through hell from Merrit Garland.   Look what the Demoncrats have done to Trump.  These Demoncrats are evil.,-0.5118,0.164,0.221,0.614
